fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220924 145545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	762101	0.202828416591394	0.712604912025854	5687	600	0.0465806157751649	26232000	1
20220924 145651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	762101	0.102761718171067	0.971972870538011	2641	298	0.0639247248723405	26106000	2
20220924 145750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	762101	0.15515661708347	0.667135014412925	3494	770	0.0677397800577455	26060000	3
20220924 145933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	762101	0.143730547173182	0.306462799925357	3707	233	0.0877711977410945	23808000	4
20220924 150033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	762101	0.230885914529441	0.625609709033742	5475	471	0.0483070670576126	25984000	5
20220924 150344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	119	TRUE	762101	0.0659313225994119	0.462700406387448	1820	432	0.0925063966825837	23698000	6
20220924 150916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	345	TRUE	762101	0.0447591780116782	0.425579199353233	4741	989	0.0244199168954219	25354000	7
20220924 151016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	13	TRUE	762101	0.28513642925513	0.550504803424701	686	554	0.0402075998848886	24442000	8
20220924 151107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	762101	0.132672773521161	0.801244117151946	4997	408	0.0773542812427331	25202000	9
20220924 151200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	762101	0.269733726171195	0.874992370568216	2956	773	0.0342788786448364	26678000	10
20220924 151250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	762101	0.218225389012252	0.793283153129742	2167	158	0.0538674853480188	25396000	11
20220924 151505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	762101	0.0917336688338546	0.492405310207978	1454	832	0.0578463211319468	26502000	12
20220924 152219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1073	TRUE	762101	0.0255204119755654	0.889273902224377	4370	335	0.0280573902538163	27272000	13
20220924 152307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	762101	0.290184443912935	0.581420269813389	6388	714	0.069916454750346	24724000	14
20220924 152539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	762101	0.070207733506686	0.236930085550994	6550	209	0.0993140194253647	23542000	15
20220924 153029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	428	TRUE	762101	0.196895339744748	0.343947207769379	6823	928	0.0174044084949128	25088000	16
20220924 153141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	762101	0.254423983156681	0.275983929941431	849	59	0.034486498242477	24914000	17
