fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220925 205917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	102191	0.244031130656018	0.62452575196512	5558	387	0.421787502921224	19602000	1
20220925 205930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	102191	0.118903239563806	0.536150591587648	6382	162	0.278575299993129	20552000	2
20220925 205947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	102191	0.14707977983309	0.337148493053392	974	954	0.579037874158975	19722000	3
20220925 205950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	102191	0.178075529693044	0.784471182683483	7585	628	0.435715794583488	0	4
20220925 210101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	856	TRUE	102191	0.057738197069848	0.38298627788201	2217	221	0.603588038809569	17486000	5
20220925 210135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	102191	0.0972970103867119	0.429563217209652	3656	580	0.157155961425481	19454000	6
20220925 210336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2085	TRUE	102191	0.044356783546973	0.226412133406848	3504	868	0.675224458619392	9596000	7
20220925 210406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	311	TRUE	102191	0.27591596493416	0.447317100511864	2904	339	0.655910874279786	13450000	8
20220925 210441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1433	TRUE	102191	0.0889735305930953	0.594746486963704	4865	483	0.547290379966714	16064000	9
20220925 210517	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	300	TRUE	102191	0.030205987595953	0.812321948762983	466	443	0.523933930026738	21648000	10
20220925 210524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	102191	0.21306089129101	0.705400813445449	4179	880	0.480992601256656	19346000	11
20220925 210532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	102191	0.158145789649105	0.861106545310468	1593	181	0.219693413440243	24960000	12
20220925 210536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	102191	0.212881393144722	0.973278445135802	5706	523	0.773968816164653	0	13
20220925 210551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	102191	0.139353679565131	0.310782153243199	1869	53	0.361298893922845	25432000	14
20220925 210606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	295	TRUE	102191	0.295719925888814	0.939521474437788	2422	977	0.121139379363146	17174000	15
20220925 210608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	102191	0.0802582472964423	0.653159312102944	7991	116	0.719657604020726	0	16
