fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220926 050612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	258	TRUE	757577	0.2055852854033	0.827108854372054	6668	132	0.233725246931664	24496000	1
20220926 050714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	588	TRUE	757577	0.178594730149955	0.550129106873646	5845	398	0.432790343406933	18350000	2
20220926 050730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	757577	0.148457186674117	0.923642244404182	3602	332	0.205489392926789	26304000	3
20220926 050753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	757577	0.167195806012838	0.300381048889831	2550	490	0.249810390149915	25560000	4
20220926 050823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	319	TRUE	757577	0.0539617026711348	0.605250071231276	2841	539	0.166422333742296	26312000	5
20220926 050844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	272	TRUE	757577	0.229347817603266	0.841414568051696	4106	599	0.293270787321407	24004000	6
20220926 050858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	757577	0.248864639235311	0.662695497786626	1313	928	0.395556417217118	20610000	7
20220926 050916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	757577	0.131813859649817	0.579065846102312	5202	24	0.119852683237696	23108000	8
20220926 051004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	342	TRUE	757577	0.109701138952398	0.374271511994302	4802	268	0.300678305412558	23596000	9
20220926 051048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229	TRUE	757577	0.257601200490259	0.494968747133389	1759	994	0.146085716342151	26090000	10
20220926 051210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	756	TRUE	757577	0.0495929444161011	0.245980884823948	6844	748	0.337322020541416	20158000	11
20220926 051243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	757577	0.277517345841741	0.895749178361148	240	702	0.0902739255781688	24256000	12
20220926 051305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	410	TRUE	757577	0.191444134054706	0.791498073032126	7771	184	0.375950153580396	19096000	13
20220926 051355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	757577	0.030883958931081	0.759112924737856	564	314	0.266806306356474	25146000	14
20220926 051446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	319	TRUE	757577	0.0878177602320211	0.466494289841503	7354	466	0.0586559632197763	12956000	15
20220926 051534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	TRUE	757577	0.0758570942620281	0.410502965021878	2383	909	0.116416085893103	24722000	16
20220926 051602	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	757577	0.214432898020837	0.339214801695198	6196	807	0.322203594893587	20522000	17
20220926 051622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	757577	0.118346950461157	0.989536955850199	3532	842	0.367862762706698	20998000	18
20220926 051815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	815	TRUE	757577	0.0235337666387204	0.226156003214419	997	670	0.451450661431326	18210000	19
20220926 051824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	757577	0.297206560839433	0.697930820994079	4455	77	0.191545112049921	24966000	20
20220926 051843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	757577	0.150599345310548	0.718772963124228	1560	290	0.165190353483728	26110000	21
20220926 051906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	757577	0.109479402561295	0.764132104582262	1938	821	0.200416965129915	26752000	22
20220926 052041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1136	TRUE	757577	0.0145940422469685	0.722462743033609	3128	25	0.224752229760406	26150000	23
20220926 052107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	757577	0.122427365094766	0.574313626131997	280	921	0.174477306754264	25936000	24
20220926 052125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	757577	0.164141898316183	0.999943987598792	2218	891	0.165337869433263	26212000	25
20220926 052155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	757577	0.0801400405940784	0.790503344137223	2389	570	0.220588647873631	26138000	26
20220926 052214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	757577	0.155818875469449	0.566197933353846	2661	858	0.189415157558658	26456000	27
20220926 052631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1495	TRUE	757577	0.0115921867549629	0.532199578584789	1731	808	0.190131248248229	26996000	28
20220926 052853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	967	TRUE	757577	0.0101619003390918	0.205335803691923	1840	282	0.194564017563	26330000	29
20220926 053021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	560	TRUE	757577	0.0310370543767912	0.256054314784453	1713	1023	0.199196097109268	26500000	30
20220926 053132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	568	TRUE	757577	0.0168831797410793	0.712144887390039	2005	1012	0.186726020446144	26782000	31
20220926 053421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2350	TRUE	757577	0.0112004612968812	0.997037073603023	3447	102	0.182613492429698	26388000	32
20220926 053609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	755	TRUE	757577	0.0101281560996229	0.841228727480358	1474	762	0.187721188894469	26502000	33
20220926 053815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1645	TRUE	757577	0.0101049026557719	0.588956040451153	4075	229	0.202347412231803	25908000	34
20220926 053906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	757577	0.0642481603097457	0.523033093857183	1785	836	0.183318513921959	27340000	35
20220926 053949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	757577	0.094180624067841	0.391455352546054	1800	797	0.178266486617486	26510000	36
