fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220924 111741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	102191	0.244031130656018	0.62452575196512	5558	387	0.124503540018916	25427000	1
20220924 111815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	102191	0.118903239563806	0.536150591587648	6382	162	0.0822300584317067	25941000	2
20220924 111839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	102191	0.14707977983309	0.337148493053392	974	954	0.170920818275842	25408000	3
20220924 111851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	102191	0.178075529693044	0.784471182683483	7585	628	0.128614903220427	25130000	4
20220924 111936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	102191	0.057738197069848	0.38298627788201	2217	221	0.178167553624511	24681000	5
20220924 112010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	102191	0.0972970103867119	0.429563217209652	3656	580	0.0463894103002925	22107000	6
20220924 112117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	423	TRUE	102191	0.044356783546973	0.226412133406848	3504	868	0.199313243809338	23465000	7
20220924 112141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	102191	0.27591596493416	0.447317100511864	2904	339	0.193612246022346	22637000	8
20220924 112206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231	TRUE	102191	0.0889735305930953	0.594746486963704	4865	483	0.161549569990175	25005000	9
20220924 112339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	102191	0.030205987595953	0.812321948762983	466	443	0.154655196212712	26056000	10
20220924 112352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	102191	0.21306089129101	0.705400813445449	4179	880	0.141979743744435	25463000	11
20220924 112425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	102191	0.158145789649105	0.861106545310468	1593	181	0.0648492605938066	26732000	12
20220924 112440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	102191	0.212881393144722	0.973278445135802	5706	523	0.228460674651012	21301000	13
20220924 112459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	102191	0.139353679565131	0.310782153243199	1869	53	0.106648468688069	26681000	14
20220924 112535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	102191	0.295719925888814	0.939521474437788	2422	977	0.0357580095710491	24201000	15
20220924 112606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	102191	0.0802582472964423	0.653159312102944	7991	116	0.21242905178925	21947000	16
20220924 112634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	102191	0.241423392464872	0.267895147399977	4723	694	0.0899034867779189	26032000	17
20220924 112732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	622	TRUE	102191	0.0221598313672002	0.753010020619258	7063	808	0.0512460107671052	21582000	18
