fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220924 030358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	102191	0.244031130656018	0.62452575196512	5558	387	0.0847032280456557	26056666.6666667	1
20220924 030600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260	TRUE	102191	0.118903239563806	0.536150591587648	6382	162	0.0559434004084562	27377333.3333333	2
20220924 030649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	102191	0.14707977983309	0.337148493053392	974	954	0.116282196040122	24946666.6666667	3
20220924 030720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	102191	0.178075529693044	0.784471182683483	7585	628	0.0875003030106185	26509333.3333333	4
20220924 030909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	102191	0.057738197069848	0.38298627788201	2217	221	0.12121235205602	26031333.3333333	5
20220924 031219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409	TRUE	102191	0.0972970103867119	0.429563217209652	3656	580	0.0315600086469203	26023333.3333333	6
20220924 031438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	102191	0.044356783546973	0.226412133406848	3504	868	0.135598354394878	24228000	7
20220924 031520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	102191	0.27591596493416	0.447317100511864	2904	339	0.131719806720121	24178000	8
20220924 031611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	102191	0.0889735305930953	0.594746486963704	4865	483	0.109906674665447	25255333.3333333	9
20220924 031852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	102191	0.030205987595953	0.812321948762983	466	443	0.105216240046353	26644666.6666667	10
