fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220925 031521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	757577	0.2055852854033	0.827108854372054	6668	132	0.0638752227639331	26186000	1
20220925 031632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	757577	0.178594730149955	0.550129106873646	5845	398	0.118278106272702	23076000	2
20220925 031713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	757577	0.148457186674117	0.923642244404182	3602	332	0.0561585918557685	26088000	3
20220925 031809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	757577	0.167195806012838	0.300381048889831	2550	490	0.0682711625254427	26433500	4
20220925 032053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	377	TRUE	757577	0.0539617026711348	0.605250071231276	2841	539	0.0454818800289505	27287000	5
20220925 032132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	757577	0.229347817603266	0.841414568051696	4106	599	0.0801485381499497	26149500	6
20220925 032211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	757577	0.248864639235311	0.662695497786626	1313	928	0.108102374891635	23093000	7
20220925 032254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	757577	0.131813859649817	0.579065846102312	5202	24	0.0327547705742771	24880000	8
20220925 032436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	757577	0.109701138952398	0.374271511994302	4802	268	0.0821729530320034	26058000	9
20220925 032533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	757577	0.257601200490259	0.494968747133389	1759	994	0.0399240467022028	26583000	10
