fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220921 182938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	265	TRUE	757577	0.11137031422311	0.723516401434317	5901	550	0.0339731808908982	25838000	1
20220921 182952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	757577	0.132732010037289	0.875546946655959	5265	697	0.0225043500988977	23922000	2
20220921 183007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	757577	0.201854490173748	0.488899074764922	2139	279	0.0457068355623051	25480000	3
20220921 183016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	757577	0.221831330600544	0.920282930545509	6275	251	0.0253378283593338	23748000	4
20220921 183043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	757577	0.0702702924420591	0.583194099906832	6859	178	0.0292938560260518	24864000	5
20220921 183101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	757577	0.234793021830963	0.65043565293774	2923	149	0.0308367465839547	25360000	6
20220921 183112	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	757577	0.181836189869908	0.635429551703855	2421	808	0.0380119478591951	25652000	7
20220921 183146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	757577	0.0525475243637338	0.474907502345741	5076	649	0.0358557875649421	25848000	8
20220921 183225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	757577	0.192017037552665	0.554126169458032	4435	595	0.020696959845227	24476000	9
20220921 183234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	757577	0.255652660383494	0.713647434609011	4024	433	0.0431113444559742	25444000	10
20220921 183251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	757577	0.113920013958355	0.796291427174583	1738	330	0.0398019101079262	26718000	11
20220921 183305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	757577	0.296215202679392	0.397310273144394	1072	858	0.0490108569008589	24734000	12
20220921 183334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	757577	0.0849496989051113	0.425878467494622	492	80	0.0263253565931518	26618000	13
20220921 183355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	757577	0.166391825362458	0.281818694667891	7393	770	0.04665094135853	25544000	14
20220921 183407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3	TRUE	757577	0.0629344213770237	0.271692370381206	7682	926	0.0154730278726493	18236000	15
20220921 183543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	967	TRUE	757577	0.0199537128892262	0.882876591952518	3636	884	0.017384826119669	23028000	16
20220921 183617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	317	TRUE	757577	0.280201556767803	0.225043634381145	3454	41	0.0186944099537504	24182000	17
20220921 183637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	757577	0.269613806939451	0.984995085028932	1373	395	0.0132214003568515	24590000	18
20220921 183756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	757577	0.026415503247641	0.356159136518836	307	1000	0.041965463803499	26844000	19
