echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220922 003339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	757577	0.2055852854033	0.827108854372054	6668	132	0.0514195543249662	26372000	1
20220922 003420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	757577	0.178594730149955	0.550129106873646	5845	398	0.0952138755495253	21998000	2
20220922 003458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	757577	0.148457186674117	0.923642244404182	3602	332	0.0452076664438937	26606000	3
20220922 003529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	757577	0.167195806012838	0.300381048889831	2550	490	0.0549582858329813	26034000	4
20220922 003718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	757577	0.0539617026711348	0.605250071231276	2841	539	0.0366129134233052	26974000	5
20220922 003740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	757577	0.229347817603266	0.841414568051696	4106	599	0.0645195732107095	24998000	6
20220922 003811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	757577	0.248864639235311	0.662695497786626	1313	928	0.087022411787766	21462000	7
20220922 003919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	757577	0.131813859649817	0.579065846102312	5202	24	0.026367590312293	25546000	8
20220922 004018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	757577	0.109701138952398	0.374271511994302	4802	268	0.0661492271907628	25480000	9
20220922 004116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	757577	0.257601200490259	0.494968747133389	1759	994	0.0321388575952733	24706000	10
20220922 004329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	430	TRUE	757577	0.0495929444161011	0.245980884823948	6844	748	0.0742108445191116	25274000	11
20220922 004433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	757577	0.277517345841741	0.895749178361148	240	702	0.0198602636271971	22944000	12
20220922 004459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	757577	0.191444134054706	0.791498073032126	7771	184	0.0827090337876871	23770000	13
20220922 004701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	757577	0.030883958931081	0.759112924737856	564	314	0.0586973873984243	26602000	14
20220922 005422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1371	TRUE	757577	0.0878177602320211	0.466494289841503	7354	466	0.0129043119083508	24530000	15
20220922 005645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	329	TRUE	757577	0.0758570942620281	0.410502965021878	2383	909	0.0256115388964827	26840000	16
20220922 005731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	757577	0.214432898020837	0.339214801695198	6196	807	0.0708847908765892	24416000	17
20220922 005808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	757577	0.118346950461157	0.989536955850199	3532	842	0.0809298077954736	25334000	18
20220922 010016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	199	TRUE	757577	0.0235337666387204	0.226156003214419	997	670	0.0993191455148917	21984000	19
20220922 010037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	757577	0.297206560839433	0.697930820994079	4455	77	0.0421399246509827	25270000	20
20220922 010239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	374	TRUE	757577	0.0295486707963361	0.926852003446303	4231	1015	0.0518888695438665	26932000	21
20220922 010443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	292	TRUE	757577	0.0528842395197152	0.309672389202437	2392	953	0.0401793595531885	27294000	22
20220922 010552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	757577	0.0736834702109657	0.565383565916144	2999	859	0.0472439370813947	26942000	23
