fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220923 020206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	757577	0.2055852854033	0.827108854372054	667	132	0.419751463877275	23914000	1
20220923 020250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	821	TRUE	757577	0.178594730149955	0.550129106873646	585	398	0.7772561269349	16002000	2
20220923 020257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	757577	0.148457186674117	0.923642244404182	360	332	0.369042175052193	25774000	3
20220923 020303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	757577	0.167195806012838	0.300381048889831	255	490	0.448639068024337	23092000	4
20220923 020323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	757577	0.0539617026711348	0.605250071231276	284	539	0.298880925904532	27372000	5
20220923 020328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	757577	0.229347817603266	0.841414568051696	411	599	0.526690393556812	22090000	6
20220923 020401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	322	TRUE	757577	0.248864639235311	0.662695497786626	131	928	0.710387035002172	21616000	7
20220923 020414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	757577	0.131813859649817	0.579065846102312	520	24	0.215245635202392	25246000	8
20220923 020425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	139	TRUE	757577	0.109701138952398	0.374271511994302	480	268	0.539993691353165	21572000	9
20220923 020437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	757577	0.257601200490259	0.494968747133389	176	994	0.262358021185904	24918000	10
20220923 020458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	440	TRUE	757577	0.0495929444161011	0.245980884823948	685	748	0.605802812400911	18222000	11
20220923 020523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	757577	0.277517345841741	0.895749178361148	24	702	0.162124601038344	24648000	12
20220923 020531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	757577	0.191444134054706	0.791498073032126	778	184	0.675175786021935	15036000	13
20220923 020633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	168	TRUE	757577	0.030883958931081	0.759112924737856	56	314	0.479162346109586	23182000	14
20220923 020640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	757577	0.0878177602320211	0.466494289841503	736	466	0.105341321700823	17054000	15
20220923 020659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	757577	0.0758570942620281	0.410502965021878	238	909	0.209073786910063	26528000	16
20220923 020706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	757577	0.214432898020837	0.339214801695198	620	807	0.578651354094606	19158000	17
20220923 020725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	293	TRUE	757577	0.118346950461157	0.989536955850199	353	842	0.660651492207948	17678000	18
20220923 021030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2999	TRUE	757577	0.0235337666387204	0.226156003214419	99	670	0.810768534815443	18530000	19
20220923 021035	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	757577	0.297206560839433	0.697930820994079	446	77	0.343999384905981	25410000	20
