fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220922 194057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	757577	0.2055852854033	0.827108854372054	1334	132	0.233725246931664	25374000	1
20220922 194111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	757577	0.178594730149955	0.550129106873646	1169	398	0.432790343406933	18360000	2
20220922 194123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	757577	0.148457186674117	0.923642244404182	720	332	0.205489392926789	25638000	3
20220922 194134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	757577	0.167195806012838	0.300381048889831	510	490	0.249810390149915	24402000	4
20220922 194159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	757577	0.0539617026711348	0.605250071231276	568	539	0.166422333742296	26504000	5
20220922 194209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	757577	0.229347817603266	0.841414568051696	821	599	0.293270787321407	23822000	6
20220922 194223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	757577	0.248864639235311	0.662695497786626	262	928	0.395556417217118	18960000	7
20220922 194244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	757577	0.131813859649817	0.579065846102312	1041	24	0.119852683237696	25204000	8
20220922 194259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	757577	0.109701138952398	0.374271511994302	960	268	0.300678305412558	24076000	9
20220922 194309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	757577	0.257601200490259	0.494968747133389	352	994	0.146085716342151	24818000	10
20220922 194339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	379	TRUE	757577	0.0495929444161011	0.245980884823948	1369	748	0.337322020541416	22084000	11
20220922 194412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	757577	0.277517345841741	0.895749178361148	48	702	0.0902739255781688	24620000	12
20220922 194430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	757577	0.191444134054706	0.791498073032126	1555	184	0.375950153580396	20940000	13
20220922 194542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	757577	0.030883958931081	0.759112924737856	112	314	0.266806306356474	24172000	14
20220922 194551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2	TRUE	757577	0.0878177602320211	0.466494289841503	1471	466	0.0586559632197763	14084000	15
20220922 194632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	363	TRUE	757577	0.0758570942620281	0.410502965021878	476	909	0.116416085893103	26096000	16
20220922 194643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	757577	0.214432898020837	0.339214801695198	1239	807	0.322203594893587	21788000	17
20220922 194655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	757577	0.118346950461157	0.989536955850199	706	842	0.367862762706698	21160000	18
20220922 194755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	414	TRUE	757577	0.0235337666387204	0.226156003214419	199	670	0.451450661431326	17288000	19
20220922 194805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	757577	0.297206560839433	0.697930820994079	891	77	0.191545112049921	25270000	20
20220922 194827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	757577	0.0723290176148945	0.656111226397357	476	68	0.132670794400477	26068000	21
20220922 195003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	590	TRUE	757577	0.0103453323327676	0.559591084407443	901	67	0.169446792359324	26636000	22
20220922 195119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	736	TRUE	757577	0.0122603293406431	0.834561570280479	720	630	0.141659917307985	26046000	23
20220922 195144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	757577	0.0804091216888438	0.254441950207009	731	259	0.15266684421127	25952000	24
20220922 195328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1648	TRUE	757577	0.0108269127046442	0.670091095404316	1001	17	0.228070654484171	24924000	25
20220922 195339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	757577	0.106092762137782	0.931008829300705	960	71	0.165397467961438	26006000	26
20220922 195754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	927	TRUE	757577	0.0104326584336949	0.490803385730456	120	702	0.122832523144614	26668000	27
20220922 200131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1226	TRUE	757577	0.010139884262661	0.809489263981502	241	817	0.122167018128861	26710000	28
20220922 200446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1289	TRUE	757577	0.0130605700314497	0.594705227542022	324	599	0.124125769979462	26494000	29
20220922 201013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	757577	0.0100944437727805	0.785257398501163	60	733	0.172570491172287	26072000	30
