echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220919 150323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1754	TRUE	999983	0.005003725057359	0.267982124911351	2626	139	0.026032742993626	26114000	103
20220919 132435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	999983	0.022264122631136	0.394495966983956	3297	607	0.026709053483351	26080000	62
20220919 145503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	999983	0.033129198722858	0.349053225414508	3343	317	0.025590042994621	26064000	101
20220919 130510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	314	TRUE	999983	0.029443526097347	0.403202047272031	3325	660	0.026090018417517	26062000	51
20220919 120103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	940	TRUE	999983	0.012580453888783	0.347814720703956	3620	592	0.025712659014377	26022000	24
20220919 124730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1129	TRUE	999983	0.007628005175563	0.301316488572205	2770	1020	0.026178736277286	26020000	44
20220919 150738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	999983	0.030045684609487	0.39510803041944	3386	204	0.026285738977176	25998000	105
20220919 133139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1395	TRUE	999983	0.005048996612415	0.3970481276616	3457	462	0.022848695361255	25982000	64
20220919 125228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1235	TRUE	999983	0.008750226120426	0.303860422596931	3190	577	0.025763337099916	25980000	46
20220919 121251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2100	TRUE	999983	0.005487650533962	0.333932313054009	3232	487	0.026417699087107	25962000	28
20220919 121816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1544	TRUE	999983	0.00506858891648	0.328965407907401	2816	633	0.026118982887973	25952000	30
20220919 135948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1396	TRUE	999983	0.00759521446292	0.200337772704274	3335	70	0.022045548380651	25940000	74
20220919 141809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1003	TRUE	999983	0.015032571174897	0.257517884045931	2832	17	0.023023444680372	25938000	82
20220919 145416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2007	TRUE	999983	0.006218031285738	0.391290969549157	3310	631	0.027077542891586	25930000	100
20220919 150650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1421	TRUE	999983	0.005881532799622	0.391674847683796	2706	25	0.022948270157334	25918000	104
20220919 113611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	999983	0.027990161170717	0.357330542156706	2942	602	0.026804235993477	25916000	8
20220919 144946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	999983	0.010141030954093	0.388559215366389	3280	602	0.02604538143708	25886000	99
20220919 151951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	578	TRUE	999983	0.020990518301879	0.348571257927528	3345	212	0.026070072425563	25886000	112
20220919 122057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	999983	0.010990286766362	0.338103964367183	3375	751	0.02547240586159	25878000	31
20220919 131626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2393	TRUE	999983	0.005441808975154	0.507143483122502	3409	417	0.026279033691285	25876000	59
20220919 132745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1175	TRUE	999983	0.005905033616308	0.354051372739565	3376	406	0.025759857567484	25870000	63
20220919 134936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1478	TRUE	999983	0.005744216991576	0.261561577474433	2952	747	0.022030222978051	25848000	70
20220919 115754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1031	TRUE	999983	0.006652704795051	0.587383854878605	3036	492	0.02643916201593	25834000	22
20220919 123825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2010	TRUE	999983	0.005033535391192	0.350427054259613	3528	570	0.025872542297385	25832000	37
20220919 123248	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2484	TRUE	999983	0.005003372323667	0.360645044540361	2780	936	0.027959771165473	25828000	35
20220919 151737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	273	TRUE	999983	0.023560291886315	0.26413951706202	3060	49	0.025627396449896	25766000	110
20220919 151830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	999983	0.029935558125549	0.350954298048855	3285	791	0.025835422892044	25766000	111
20220919 130222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2533	TRUE	999983	0.005025652474105	0.498193735129425	2965	268	0.025973469386143	25762000	49
20220919 120811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	851	TRUE	999983	0.012456497283145	0.441667879820547	3577	645	0.025458175179435	25754000	27
