fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220920 020513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	476	TRUE	999983	0.036857320947526	0.495625613112934	3077	17	0.0238026484732982	25860000	1
20220920 020600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	999983	0.0356433239168022	0.497604642433114	3078	17	0.0232114334867802	25638000	2
20220920 020640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	208	TRUE	999983	0.03601032309609	0.49962191948574	3076	17	0.0241699106310552	25734000	3
20220920 020732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	354	TRUE	999983	0.0367235237165121	0.503723046963569	3075	18	0.0232913432658825	25636000	4
20220920 020840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	497	TRUE	999983	0.0355974331358913	0.496755262247287	3076	16	0.0229430908561044	25600000	5
20220920 020951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	507	TRUE	999983	0.0354956231343793	0.502210834521102	3077	17	0.0243073177953192	26164000	6
20220920 021034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	999983	0.0358720277003013	0.493856451169355	3079	18	0.0227231246668671	25582000	7
20220920 021139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	450	TRUE	999983	0.036333796738158	0.504099904065253	3079	18	0.0225258662472479	26090000	8
20220920 021238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	999983	0.0366363350372063	0.494332363885595	3078	17	0.0241034636642726	25782000	9
20220920 021344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	523	TRUE	999983	0.0357473184010945	0.500950876126299	3075	17	0.0236263153436885	26104000	10
20220920 021423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	999983	0.0362551716483198	0.498696497950004	3079	16	0.0234016813165799	25508000	11
20220920 021526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	490	TRUE	999983	0.0369124810646055	0.50653967015422	3077	17	0.0248575440604182	25824000	12
20220920 021631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	999983	0.0352179690617137	0.50805680229445	3078	16	0.0245414428072982	25786000	13
20220920 021720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	305	TRUE	999983	0.0351566741122166	0.49182696995046	3077	16	0.0235063717029407	25366000	14
20220920 021829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	511	TRUE	999983	0.0353805663487874	0.505792601098074	3075	18	0.0248938195635856	25998000	15
20220920 021929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	452	TRUE	999983	0.0359054029448424	0.490143900622614	3078	18	0.0246833292821248	25756000	16
20220920 022007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	999983	0.0364274838498328	0.509065957190702	3076	16	0.023022005264007	25898000	17
20220920 022126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	999983	0.0350050505634164	0.501331925807521	3075	16	0.0239558533767122	25738000	18
20220920 022217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	350	TRUE	999983	0.0361022776955273	0.50741842005495	3079	18	0.0244573960224225	25754000	19
20220920 022249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	999983	0.0365834199080709	0.492624467993854	3076	17	0.0227726639833418	25268000	20
20220920 022354	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	999983	0.035772516374628	0.501645575670843	3077	17	0.0236454794193138	25720000	21
20220920 022454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	395	TRUE	999983	0.0355762283053882	0.506431773436731	3076	16	0.022542738033997	25976000	22
20220920 022550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	999983	0.0351131552273221	0.496907232700051	3075	16	0.0225648965977854	25802000	23
20220920 022639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336	TRUE	999983	0.0361498533519907	0.502143832657943	3075	16	0.0226096880403912	26012000	24
20220920 022744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	491	TRUE	999983	0.0362573560779821	0.498713367950078	3076	17	0.0249994132371212	25952000	25
20220920 022835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	325	TRUE	999983	0.0369690680560544	0.505501170354947	3077	18	0.0241425699136249	25784000	26
20220920 022942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	537	TRUE	999983	0.0356950100785014	0.499187450496731	3075	17	0.0230841948089219	26128000	27
20220920 023014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	999983	0.0364145588519266	0.50983017381486	3076	18	0.0243569383017719	25642000	28
20220920 023054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	241	TRUE	999983	0.0350286869336814	0.508429265931277	3075	18	0.0236799528937775	25506000	29
20220920 023157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	486	TRUE	999983	0.0351699296662086	0.498489441205971	3078	18	0.0227918369122391	25780000	30
20220920 023315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	672	TRUE	999983	0.035758385759851	0.505039000825831	3079	17	0.0245264127156773	25850000	31
20220920 023356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	999983	0.0360015435871268	0.500866475624959	3079	18	0.0232311037563416	25834000	32
20220920 023506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	448	TRUE	999983	0.03666531742542	0.505320523136035	3078	18	0.0233639452238585	25408000	33
20220920 023543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	999983	0.0357891533063697	0.509456108881119	3076	17	0.0227816869985301	25838000	34
20220920 023618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	999983	0.0360477742417669	0.491986422393164	3075	18	0.0237522519550781	25852000	35
20220920 023655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	999983	0.036767471519697	0.49087292316671	3077	18	0.0238181175315793	25722000	36
20220920 023759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	515	TRUE	999983	0.0365674283339684	0.504915077596456	3076	16	0.0242258021904383	26046000	37
20220920 023915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	562	TRUE	999983	0.0364973501534555	0.509875308540724	3075	16	0.02439299343283	26272000	38
20220920 024007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	396	TRUE	999983	0.0361639501098888	0.490832842533831	3076	17	0.0245194822768809	25788000	39
20220920 024042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	999983	0.03511575924912	0.504895680427095	3078	18	0.024203793497911	25366000	40
20220920 024147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	523	TRUE	999983	0.0352931143540549	0.505358123118482	3077	16	0.0231414054830075	25920000	41
20220920 024223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	999983	0.0350405052991803	0.495378516553794	3078	16	0.0234908965574141	25426000	42
20220920 024310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	310	TRUE	999983	0.0364519324728386	0.507748613920862	3075	16	0.0244432678365481	26110000	43
20220920 024409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	455	TRUE	999983	0.0366975155429736	0.508917978046555	3075	16	0.0243490614360864	26282000	44
