fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220918 215437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	999983	0.183901448617107	0.621010201340541	4395	461	0.0326784167169535	24904000	1
20220918 215504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	999983	0.0568341240445152	0.477567002577707	2541	1005	0.0437597438560624	22994000	2
20220918 215518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	999983	0.224178749379702	0.868788930177689	1459	398	0.0170475353757502	24532000	3
20220918 215528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	999983	0.201754309805576	0.236657068720087	4709	479	0.0350947896756406	23374000	4
20220918 215557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6	TRUE	999983	0.131555147099891	0.510393794048578	72	763	0.030102445679222	15472000	5
20220918 215611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	999983	0.147980635727872	0.528326309472323	3103	808	0.0419279893307248	23160000	6
20220918 215637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	999983	0.110397357405396	0.282841980177909	671	355	0.0151680088861031	23744000	7
20220918 215645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	999983	0.186993102257606	0.952485111905262	7117	199	0.0348647430585697	23522000	8
20220918 215658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	999983	0.0722951237369562	0.748383423425257	7796	661	0.0244986742830952	25284000	9
20220918 215843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	999983	0.0107164381463081	0.416030713059008	5275	555	0.0388508763736172	23442000	10
20220918 215857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	999983	0.164607578947442	0.569026801651344	4822	293	0.0230739203775011	24906000	11
20220918 215909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	999983	0.251409801840433	0.89482615747489	3999	123	0.0141533310375235	23704000	12
20220918 215917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	999983	0.29674677317543	0.770095372162759	3244	954	0.0380913793714717	23584000	13
20220918 215929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.262782207118929	0.262520745294169	1967	601	0.0277736320870463	23146000	14
20220918 220002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196	TRUE	999983	0.0423875239404151	0.34362732722424	6070	41	0.0267789324946352	25154000	15
20220918 220036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	999983	0.0271937900838675	0.833202372277156	5885	828	0.0448663194665278	22810000	16
20220918 220055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	999983	0.0960976855122717	0.665445609297603	838	240	0.0471588710605283	20574000	17
20220918 220102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.279213524372666	0.964395315963775	7210	684	0.0184429624903714	24284000	18
20220918 220113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	999983	0.233351258128649	0.378796601481736	6709	109	0.0491502272027719	21330000	19
20220918 220125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.121937732503051	0.69357220758684	2139	923	0.0205963183050335	24964000	20
20220918 220207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	999983	0.01890366408747	0.816095296599623	5972	581	0.0253311304571624	24968000	21
20220918 220309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	546	TRUE	999983	0.0223639438184087	0.80263711378994	4013	510	0.0264108408362739	25658000	22
20220918 220348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	999983	0.0329084370075753	0.326965940758656	2373	428	0.0157295438480276	24042000	23
20220918 220358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.153239756829314	0.938776257478035	4182	925	0.0257405518336402	25296000	24
20220918 220519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	663	TRUE	999983	0.016053246857916	0.944767180946814	4398	87	0.0284379787865355	24966000	25
20220918 220532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.202316346520677	0.845577401276998	3447	566	0.0241922956911174	25268000	26
20220918 220616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	247	TRUE	999983	0.0227289390850287	0.305170352121721	7198	312	0.0235521017419915	25246000	27
20220918 220723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	426	TRUE	999983	0.0215906219040045	0.575957575877506	3751	900	0.0223800940965723	25848000	28
20220918 220820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	329	TRUE	999983	0.0182577863027422	0.60467830035052	3704	919	0.0279731784988606	25496000	29
20220918 221129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1372	TRUE	999983	0.0110001320989577	0.533513681024722	4248	754	0.0241537280782853	26288000	30
20220918 221205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299	TRUE	999983	0.0672123233948061	0.203248504672262	4125	712	0.0237675308906561	25282000	31
20220918 221328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	602	TRUE	999983	0.0100471760011317	0.674069379965659	4459	770	0.0211590734349216	25310000	32
20220918 221420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	374	TRUE	999983	0.0371597792842571	0.431508971369019	6935	1020	0.0261419866707707	25680000	33
20220918 221436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	999983	0.299997953250692	0.53524756473595	1970	1015	0.0125406925570493	22920000	34
20220918 221447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	999983	0.29968185331257	0.39321004012294	7996	795	0.0267009451569978	24740000	35
20220918 221719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1097	TRUE	999983	0.0118208605270874	0.449537723287673	4331	992	0.0253997640313735	25818000	36
20220918 221738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	999983	0.166063799880158	0.474276262877478	6740	650	0.0261254583645636	24568000	37
20220918 221951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1252	TRUE	999983	0.0107703010091754	0.26241083756198	7614	1022	0.0222743541294936	25738000	38
20220918 222143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	727	TRUE	999983	0.0106570111312937	0.542319490798406	7596	1023	0.0293332707986016	24740000	39
20220918 222345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	934	TRUE	999983	0.0101399269071375	0.311026746451872	6316	1024	0.0229945138737821	25940000	40
20220918 222451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	510	TRUE	999983	0.0365643308914299	0.506680783389463	3077	17	0.0239666995793419	26344000	41
20220918 222555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	438	TRUE	999983	0.036079374950785	0.481065840167617	3807	90	0.0244746050111297	25592000	42
20220918 222749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	981	TRUE	999983	0.0105496615965655	0.721012434061014	2723	28	0.0230894166796552	25542000	43
20220918 222913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	358	TRUE	999983	0.0147403745654413	0.517502752525919	3083	708	0.0239448427877422	25256000	44
20220918 222931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	999983	0.198146694239323	0.499962223562742	3052	16	0.0234756483152743	25750000	45
20220918 223059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	571	TRUE	999983	0.0154961653550781	0.547771911646255	3181	16	0.0276685021370355	25592000	46
20220918 223314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1080	TRUE	999983	0.0109009435899663	0.382821490327187	6946	1024	0.0164383862093617	24570000	47
20220918 223423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	544	TRUE	999983	0.0377418518860626	0.466396895524623	3191	19	0.0217508851135828	25442000	48
20220918 223536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	306	TRUE	999983	0.0121383682416724	0.435630489878328	5345	850	0.0241677881709278	25026000	49
20220918 223655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	999983	0.010022888889357	0.900525790265454	7035	1024	0.0230205857134393	25474000	50
20220918 223719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	999983	0.0735301545534563	0.86502864018068	3104	16	0.0243781654700752	25730000	51
20220918 223744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	999983	0.0421139234289062	0.329442144154376	2967	23	0.0247981805004042	25102000	52
20220918 223835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	482	TRUE	999983	0.0345974522803549	0.201970186613613	6638	1023	0.0263930721445569	25300000	53
20220918 223859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	999983	0.0890868461218083	0.604472030415155	4311	1011	0.024861020779498	25410000	54
20220918 224044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	687	TRUE	999983	0.0101269242661558	0.905386739418874	2704	978	0.0207636592846045	25116000	55
20220918 224207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	688	TRUE	999983	0.0110734633404182	0.616703281086106	7526	16	0.023910351342574	25208000	56
20220918 224221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	999983	0.298985565796273	0.245173270440304	8000	34	0.0125946180599628	21242000	57
20220918 224229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.299462526300552	0.980092525708858	7999	359	0.0253344544716992	24926000	58
20220918 224506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1169	TRUE	999983	0.0100174734306204	0.527691296037031	8000	299	0.0274259917039974	25188000	59
20220918 224554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	403	TRUE	999983	0.0462647562235311	0.556211053645394	3104	16	0.0233924517615207	25748000	60
20220918 224828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1308	TRUE	999983	0.0106867375320302	0.281495454923643	4359	1022	0.0267056636830594	25336000	61
20220918 224851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	999983	0.0984167974873414	0.479877909524765	1275	16	0.0239724983533769	25118000	62
20220918 224905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	999983	0.251673946802223	0.876758364101045	2515	27	0.0199382681736974	24356000	63
20220918 224917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	999983	0.259400909377376	0.376217736823804	6445	1023	0.0219707974194974	24828000	64
20220918 224926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	999983	0.299194370677297	0.676320117345746	4112	20	0.027354770704486	24302000	65
20220918 224950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	999983	0.0712369131559342	0.412906939246642	3973	1024	0.0186369309844452	24600000	66
20220918 225118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	940	TRUE	999983	0.0109593503440111	0.876800189663483	8000	184	0.023616156772334	25614000	67
20220918 225222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	999983	0.0140697202845049	0.531277513145143	4185	487	0.0241141360898322	25404000	68
20220918 225400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1015	TRUE	999983	0.0101860295853983	0.982826851883675	7379	950	0.0274032223904469	24884000	69
20220918 225554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1412	TRUE	999983	0.0118688884873245	0.721606695684794	7996	278	0.0218213844565164	25430000	70
20220918 225829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1267	TRUE	999983	0.0103901536145271	0.367541768309383	6090	80	0.031922989599756	24476000	71
20220918 230110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1279	TRUE	999983	0.010165443745197	0.337109107270235	4355	408	0.0278503404461839	25356000	72
20220918 230123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.299658623758465	0.768336339617612	7998	243	0.0228535700176357	24528000	73
20220918 230258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	819	TRUE	999983	0.0122304642959573	0.954884403615373	4168	765	0.0239996912172641	25576000	74
20220918 230518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1360	TRUE	999983	0.0113648493902392	0.6656461874384	4101	765	0.0257628645765692	25848000	75
20220918 230542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	999983	0.0493256263028222	0.308984863304638	7993	1023	0.0254153188204045	24630000	76
20220918 230718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	467	TRUE	999983	0.0101410459485346	0.503524113667184	6926	727	0.0226241792882926	25254000	77
20220918 230732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	999983	0.103114299877559	0.697024003490698	7948	654	0.0324733194931558	24428000	78
20220918 230922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	999983	0.0135045085740195	0.48592194442969	4567	1021	0.0228315924016674	25532000	79
20220918 231140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	997	TRUE	999983	0.0109188904471028	0.543934135908143	6979	1023	0.020267374857004	25980000	80
20220918 231216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	999983	0.0400835612637026	0.99900257186453	2666	282	0.0246667858883044	25512000	81
20220918 231239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	999983	0.0519574295993735	0.482934426545037	2558	18	0.0246285468424094	25348000	82
20220918 231403	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	527	TRUE	999983	0.0105005414133584	0.990697256568549	3299	285	0.0271912414920522	24830000	83
20220918 231636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1531	TRUE	999983	0.0102532958995188	0.229763939138759	7093	285	0.020169638283811	25740000	84
20220918 231741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	597	TRUE	999983	0.0276459473576883	0.260348885615875	7998	756	0.0199702174918849	25752000	85
20220918 231913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	730	TRUE	999983	0.0143028845260735	0.308276303182317	6764	986	0.0209741461215491	25706000	86
20220918 232047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	688	TRUE	999983	0.0157403854195723	0.386055715525752	6245	774	0.0197104054766485	25604000	87
20220918 232216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	884	TRUE	999983	0.0100797777508577	0.896926788714331	7937	214	0.0197915749689215	25364000	88
20220918 232559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2528	TRUE	999983	0.0100014621546747	0.214339983269662	7811	388	0.0187738203161838	25582000	89
20220918 232828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1198	TRUE	999983	0.0105136815703781	0.33487810439526	5369	130	0.0180023237673972	25090000	90
20220918 233024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1179	TRUE	999983	0.0145341830470988	0.227294585190477	7665	1023	0.0193213094687905	25518000	91
20220918 233053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	240	TRUE	999983	0.0791953231912774	0.200655326374199	7979	17	0.0194974518184498	25250000	92
20220918 233107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	999983	0.148947965250764	0.20403723324466	7695	16	0.0288632189112313	24892000	93
20220918 233119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	999983	0.150979554466396	0.657851205674339	2989	154	0.0239766230657477	25410000	94
20220918 233128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.284199614730383	0.223674467792231	4032	16	0.0223830697532365	24266000	95
20220918 233316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	609	TRUE	999983	0.0105198428765154	0.379539937731017	3661	353	0.0194590965389002	25646000	96
