fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220919 160120	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	515	TRUE	999983	0.0084880337701994	0.36949855396233	1566	618	0.0216651796533066	25530000	1
20220919 160247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	569	TRUE	999983	0.0152795325097861	0.278505872242386	2417	350	0.0415525944094406	24040000	2
20220919 160337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	300	TRUE	999983	0.0212656232811278	0.161587106523803	1649	541	0.0346320181482588	24630000	3
20220919 160407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	999983	0.0518419279884314	0.266627523602801	3554	601	0.0274002995773723	25742000	4
20220919 160446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	999983	0.0267557582617155	0.301803951247712	2699	457	0.0587947111751904	19900000	5
20220919 160524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	999983	0.0413663561755791	0.206539498304483	2603	268	0.0613924459229747	19310000	6
20220919 160555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	999983	0.0376990888630855	0.167775026519666	1792	910	0.0433384450134569	22990000	7
20220919 160633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	999983	0.0445227155204862	0.349378272015019	2800	869	0.0647283755070627	19140000	8
20220919 160709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	999983	0.0318637374411453	0.32543379314302	1242	826	0.0293510517158817	25032000	9
20220919 160836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	656	TRUE	999983	0.0162094168420648	0.291368624285678	3482	493	0.0319427063048837	25148000	10
20220919 160907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	165	TRUE	999983	0.059226302682457	0.392620244307909	3101	183	0.0151469507465178	23892000	11
20220919 161042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	489	TRUE	999983	0.0106805537907523	0.242144576294231	1443	790	0.0528509460104397	21150000	12
20220919 161701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3249	TRUE	999983	0.00313465737538645	0.196519499347778	3301	708	0.0483918866499638	21704000	13
20220919 161749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	999983	0.0235401098008151	0.212847048643744	1921	231	0.0456683542492586	22660000	14
20220919 161819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	999983	0.0472272013475304	0.317749658814864	3753	320	0.0547105243427116	21158000	15
20220919 161905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	372	TRUE	999983	0.0510569161533611	0.233132864281652	2250	1008	0.0162634272865156	25014000	16
20220919 162001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	538	TRUE	999983	0.0295917717304197	0.182769201364135	3877	391	0.0201200146166957	24642000	17
20220919 162037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	999983	0.0356734640005976	0.377829880360514	2136	106	0.0257280203774765	25490000	18
20220919 162059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	999983	0.0557906247287523	0.256640002861968	1120	655	0.0567095737148581	20546000	19
20220919 162421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1382	TRUE	999983	0.00660990253731143	0.353621471885708	2983	972	0.0380827453353656	24190000	20
20220919 162506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	999983	0.0322743068359647	0.28719260879817	2418	629	0.0259112446304894	25536000	21
20220919 162532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	999983	0.0584776842463393	0.295187554164833	1778	468	0.0239290807838782	25326000	22
20220919 162559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	999983	0.059369744128664	0.306409287713926	3715	1019	0.0262327190112935	25360000	23
20220919 163544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2947	TRUE	999983	0.00191791839517255	0.389522863832671	1939	374	0.0281296924967838	25628000	24
20220919 163627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	252	TRUE	999983	0.0548217455681839	0.367922966183583	3037	498	0.0290159485200898	25392000	25
20220919 164902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4474	TRUE	999983	0.00148293182728982	0.301465702326539	1640	122	0.0252546077260418	25800000	26
20220919 165732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2297	TRUE	999983	0.00226170468465516	0.348213237037382	1054	144	0.0248419139694341	26222000	27
20220919 171548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5212	TRUE	999983	0.00117256296514063	0.399301366887876	1000	102	0.0238298585946511	26320000	28
20220919 173114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4808	TRUE	999983	0.00161658504933289	0.379689958234709	1000	100	0.0188350310543867	25886000	29
20220919 173250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	354	TRUE	999983	0.0132943499665397	0.398488582389418	1002	100	0.0264809830296263	25824000	30
20220919 175144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5622	TRUE	999983	0.00102569938290412	0.346819041745679	1001	295	0.0232996587292206	26120000	31
20220919 175213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	999983	0.0599155166775508	0.150269149916494	3171	857	0.0272822775419874	25282000	32
20220919 175236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	999983	0.0599051934579163	0.284683827684931	3996	106	0.0293887487398474	24644000	33
20220919 181137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5765	TRUE	999983	0.00108267027704191	0.399400034386795	1195	101	0.0236706426228623	25858000	34
20220919 183108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5429	TRUE	999983	0.00104637370212944	0.322186138309448	1000	1008	0.0234661375185026	26204000	35
20220919 184429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3299	TRUE	999983	0.00101317183536154	0.191032793210903	1000	840	0.0231741175419662	25342000	36
20220919 190253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5029	TRUE	999983	0.00101898470767528	0.345826730620873	1000	103	0.0255909851278694	26440000	37
20220919 192013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7923	TRUE	999983	0.00100399729032072	0.397719961399675	1946	1024	0.0232124006484741	25494000	38
20220919 193455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3416	TRUE	999983	0.00111808790800839	0.340462451036228	1000	106	0.0316525707771581	25176000	39
20220919 193652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	587	TRUE	999983	0.0168496934451123	0.383677438536494	1000	956	0.0126219873869642	25122000	40
20220919 193722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	999983	0.0575198519082611	0.364837015265604	1000	1022	0.0207373784137428	25768000	41
20220919 195245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9473	TRUE	999983	0.00100236698732496	0.399918367805641	4000	629	0.0256438365429555	25472000	42
20220919 200418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4327	TRUE	999983	0.00135937402811152	0.310424710279231	3999	1019	0.0125448893586912	22752000	43
20220919 201924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5736	TRUE	999983	0.00103162372612932	0.338667694467431	3182	100	0.0261671468892267	25520000	44
20220919 203121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7933	TRUE	999983	0.00100532413982932	0.151620734044276	4000	652	0.0277732057899548	25158000	45
20220919 203147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	999983	0.058871260607911	0.150087361049792	2259	100	0.0268254808849037	25342000	46
20220919 205214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5292	TRUE	999983	0.00105506088867237	0.398940963061743	1000	823	0.0252623573742601	26396000	47
20220919 205254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	230	TRUE	999983	0.0557771155127368	0.161800727956508	1000	101	0.0126537323152979	23988000	48
20220919 211233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6214	TRUE	999983	0.001105829390168	0.350214709226303	1000	787	0.0208726331481322	2.6e+07	49
20220919 212531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5596	TRUE	999983	0.00102313138980609	0.150245310540069	2365	206	0.0276832202671311	25336000	50
20220919 212623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	354	TRUE	999983	0.0599000821339621	0.399485984293155	3490	680	0.0236713708547002	25604000	51
20220919 212651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	999983	0.0596628012724352	0.398557047266108	3999	705	0.0363021952939114	23836000	52
20220919 212806	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	999983	0.0185465956486138	0.386218253982773	1002	1023	0.0243165800676982	25960000	53
20220919 214308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9588	TRUE	999983	0.00103662903720868	0.316891668614282	3316	795	0.026316206760878	25626000	54
20220919 214342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	999983	0.0599880594822174	0.380490959870828	2032	1022	0.0260421986640329	25398000	55
20220919 214422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211	TRUE	999983	0.0598944406959284	0.399608238193009	1990	907	0.0178120857660707	24936000	56
20220919 214502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	999983	0.0352728099825458	0.39948126579532	3546	462	0.0263338312074743	25620000	57
