fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220920 003514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	533	TRUE	999983	0.0340912153248209	0.516701317980187	3050	15	0.0211436961641302	25468000	1
20220920 003600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	273	TRUE	999983	0.0324739775621565	0.492592033999972	2978	19	0.0218331690203166	25538000	2
20220920 003634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	999983	0.0381466372946743	0.485401170941768	3017	14	0.022983955878648	25718000	3
20220920 003718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	315	TRUE	999983	0.0385052402784349	0.464620379251428	3117	18	0.0227456492459634	25428000	4
20220920 003806	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	331	TRUE	999983	0.0354790648348862	0.50886093607056	3073	16	0.0248670642541256	25996000	5
20220920 003848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	267	TRUE	999983	0.0347653637249023	0.530485539056826	3102	13	0.0199914643724216	25186000	6
20220920 003923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	999983	0.0316969061538111	0.496702314495342	2993	12	0.024059015845065	25338000	7
20220920 004013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	375	TRUE	999983	0.0365141895193374	0.45967438336229	3086	20	0.0210454150300007	25526000	8
20220920 004054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	999983	0.0309144382327795	0.544902274896158	3158	14	0.0225403677786468	25366000	9
20220920 004146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	407	TRUE	999983	0.0373676169526298	0.482301170392893	2959	12	0.019463228415139	25646000	10
20220920 004228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	999983	0.039370647470234	0.465763794047525	3044	11	0.024428882175521	25670000	11
20220920 004305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	999983	0.0326098249207716	0.545740911416942	2930	16	0.0214778336681193	25270000	12
20220920 004412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	540	TRUE	999983	0.0356766357407905	0.510856960598612	3140	17	0.022153884240496	25838000	13
20220920 004452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	999983	0.0331658637670334	0.502807284835726	2904	18	0.0192014426375274	25762000	14
20220920 004556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	999983	0.0301348424588796	0.539096223526867	3142	10	0.0203609455160098	25830000	15
20220920 004702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	549	TRUE	999983	0.0397444901566487	0.527757443743758	2967	15	0.0197293872158974	25394000	16
20220920 004745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	238	TRUE	999983	0.0312675009936793	0.476927590434207	3172	20	0.0241120654665865	25410000	17
20220920 004907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	811	TRUE	999983	0.0338772540616337	0.45133511568536	3028	10	0.0206101780717261	25084000	18
20220920 004953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373	TRUE	999983	0.0376594078851631	0.524172741926741	3195	11	0.0232110730699962	25798000	19
20220920 005041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	317	TRUE	999983	0.0363542779122945	0.471959091854515	2924	19	0.0236648970411159	25406000	20
20220920 005119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	999983	0.0355235128082425	0.49549846491871	3045	16	0.0228233161582688	25520000	21
20220920 005205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	317	TRUE	999983	0.0387679423911057	0.523494603850699	3072	20	0.0249637167400497	25804000	22
20220920 005323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	684	TRUE	999983	0.0328268705598851	0.491569320851105	3074	14	0.0233987402499617	25930000	23
20220920 005437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	999983	0.0347259904924921	0.515569210341632	3073	11	0.0240815094480324	25948000	24
20220920 005510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	999983	0.0350791132067295	0.541730713744693	3074	16	0.0249978758618348	25440000	25
20220920 005550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	257	TRUE	999983	0.0328811415269412	0.532158867183654	3014	13	0.0191025712815928	25214000	26
20220920 005705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	658	TRUE	999983	0.0305657761366107	0.484536163500254	2946	12	0.019155751834685	25470000	27
20220920 005757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409	TRUE	999983	0.0357492667599535	0.510719163289713	2922	10	0.0192632512969389	24960000	28
20220920 005840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	300	TRUE	999983	0.0362867803899106	0.493566839750391	3012	14	0.0249985917690909	25760000	29
20220920 005935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	412	TRUE	999983	0.0398453402802721	0.527505851774733	3059	17	0.0229421677926998	26264000	30
20220920 010003	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	999983	0.0389842289328216	0.522435524580405	3061	17	0.0223797966046228	25314000	31
20220920 010034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	999983	0.0334750503925071	0.495937252483657	2902	14	0.0204020675414125	24910000	32
20220920 010137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	520	TRUE	999983	0.0370727942596329	0.549150869074301	2973	19	0.0234566519242525	25474000	33
20220920 010244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	468	TRUE	999983	0.0301434346684068	0.542146329656383	2952	19	0.021831886945066	26138000	34
20220920 010347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	444	TRUE	999983	0.0308496483310428	0.492447206029855	3112	20	0.0197004085893738	25598000	35
20220920 010420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	999983	0.0337919287992548	0.525195004129154	3172	16	0.0238633905176255	25358000	36
20220920 010459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	226	TRUE	999983	0.0350077179356338	0.504332378124795	3147	18	0.0207546490152199	25568000	37
20220920 010558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	999983	0.0383265871271002	0.526602615680173	3135	18	0.0210734685372603	25424000	38
20220920 010640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	259	TRUE	999983	0.0339457665318483	0.547280544405594	2969	15	0.0196760487964721	25434000	39
20220920 010722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	999983	0.0352388712088345	0.459932111965818	2917	17	0.0220054046921874	25512000	40
20220920 010753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	999983	0.038837357598485	0.45436461583355	3076	19	0.0221634820757904	25318000	41
20220920 010832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	999983	0.037837141669842	0.524575387982279	2988	11	0.0231419252570518	25834000	42
20220920 010942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	647	TRUE	999983	0.0374867507672776	0.549376542703621	2929	12	0.0235431842387919	25904000	43
20220920 011033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	999983	0.035819750549444	0.454164212669153	2964	13	0.0238467574645141	25672000	44
20220920 011144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	529	TRUE	999983	0.0305787962456001	0.524478402135475	3137	19	0.0230891043949863	25524000	45
20220920 011217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	999983	0.0314655717702745	0.526790615592408	3071	12	0.0205393731592181	24966000	46
20220920 011304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	328	TRUE	999983	0.0302025264959014	0.47689258276897	3100	12	0.0213781517377938	25626000	47
20220920 011358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	999983	0.0336934330646344	0.514948504274827	2955	16	0.0240766256475877	25890000	48
20220920 011453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	999983	0.0344886584013491	0.464083923308644	3197	14	0.0229916116040153	26054000	49
20220920 011538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	999983	0.039924213074029	0.465662507213559	3135	18	0.0202258556198427	25342000	50
20220920 011645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	592	TRUE	999983	0.0383493826759723	0.516604663206637	3125	11	0.0231101192239658	25824000	51
20220920 011803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	314	TRUE	999983	0.0305543575418694	0.543374177799933	3106	16	0.022413897157711	25504000	52
20220920 011924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	433	TRUE	999983	0.0395940151807084	0.524033109265543	3082	15	0.0234062473772103	25984000	53
20220920 012006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	999983	0.0350341084877704	0.501375870278291	2974	20	0.019202232766449	25118000	54
