fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220919 113900	0	0	0	1	auto	depthwise	256	0	1	0.00325925969989039	0.318672486060532	4	3	0.0295714774279622	4934	26366000	1
20220919 115337	0	0	0	1	auto	depthwise	256	0	1	0.013315966540284	0.39887609909405	7	4	0.0432599981023426	714	23746000	2
20220919 120615	0	0	0	1	auto	depthwise	256	0	1	0.0135467586517916	0.360848570659291	5	3	0.0174433848737196	909	25662000	3
20220919 122008	0	0	0	1	auto	depthwise	256	0	1	0.011714326949697	0.47717196610989	4	2	0.0562609867815627	1229	20350000	4
20220919 134430	0	0	0	1	auto	depthwise	256	0	1	0.00155961487247841	0.340328239151277	10	4	0.0588843114637227	4249	20210000	5
20220919 140142	0	0	0	1	auto	depthwise	256	0	1	0.0181627797283814	0.413166999173118	3	5	0.0541133277281187	750	21954000	6
20220919 144229	0	0	0	1	auto	depthwise	256	0	1	0.00523503415740561	0.427592836266849	3	3	0.0274924949192306	2860	25840000	7
20220919 150514	0	0	0	1	auto	depthwise	256	0	1	0.00736470219314797	0.276622703432804	7	4	0.0388649016087099	1583	24184000	8
20220919 151506	0	0	0	1	auto	depthwise	256	0	1	0.0146148044949281	0.258958662818186	0	4	0.0525127295846081	602	21636000	9
20220919 153641	0	0	0	1	auto	depthwise	256	0	1	0.00862246626099804	0.210541106619639	6	5	0.0259545794216198	1520	26040000	10
20220919 155722	0	0	0	1	auto	depthwise	256	0	1	0.00832270625823876	0.265613062486518	1	3	0.0192188288442655	1986	26238000	11
20220919 160423	0	0	0	1	auto	depthwise	256	0	1	0.0171726703101653	0.301465813565301	9	2	0.0497433362902666	801	21748000	12
20220919 162245	0	0	0	1	auto	depthwise	256	0	1	0.0166355965048424	0.444102436900139	9	4	0.0474809515707117	993	23074000	13
20220919 165252	0	0	0	1	auto	depthwise	256	0	1	0.00639523533369647	0.390474645601353	2	2	0.0652393500938585	3322	18568000	14
20220919 185256	0	0	0	1	auto	depthwise	256	0	1	0.00357147631826811	0.309555270874407	6	5	0.0361924366135402	2165	24486000	1
20220919 192503	0	0	0	1	auto	depthwise	256	0	1	0.00650615881157573	0.295245236373739	7	3	0.0460940901469439	1487	22530000	2
20220919 200122	0	0	0	1	auto	depthwise	256	0	1	0.0121620790244779	0.421912530168192	5	4	0.0641666061340463	1077	19358000	3
20220919 204913	0	0	0	1	auto	depthwise	256	0	1	0.00487632871274836	0.253596081266878	9	3	0.0444264789599886	2715	23050000	4
20220919 214625	0	0	0	1	auto	depthwise	256	0	1	0.0127062694939086	0.428219948196784	5	4	0.0200823082520704	1987	25994000	5
20220919 220135	0	0	0	1	auto	depthwise	256	0	1	0.00982953650667332	0.262896776889684	7	3	0.050017858712187	627	21546000	6
20220919 222416	0	0	0	1	auto	depthwise	256	0	1	0.0137358893889352	0.324025636517908	2	2	0.0251532297374312	1686	26392000	7
20220919 230838	0	0	0	1	auto	depthwise	256	0	1	0.00721638690433465	0.376829138051253	4	5	0.0383164347276033	940	24676000	8
20220919 232548	0	0	0	1	auto	depthwise	256	0	1	0.017772792327858	0.243723290668568	0	4	0.0602976087357092	758	19720000	9
20220919 235418	0	0	0	1	auto	depthwise	256	0	1	0.00892578604061855	0.226571779670194	7	2	0.0260535088355634	2794	25760000	10
20220920 001216	0	0	0	1	auto	depthwise	256	0	1	0.0189206978743896	0.470851253198925	3	2	0.0550168421590449	933	20656000	11
20220920 010147	0	0	0	1	auto	depthwise	256	0	1	0.00830157337585697	0.448669200816657	10	4	0.0303484805777165	1322	25480000	12
20220920 014212	0	0	0	1	auto	depthwise	256	0	1	0.0169368116459576	0.393722741699312	1	5	0.0411024085446843	1076	24102000	13
20220920 050130	0	0	0	1	auto	depthwise	256	0	1	0.00176117071994813	0.336289353662869	1	4	0.0149896362585908	8015	25430000	14
20220920 051446	0	0	0	1	auto	depthwise	256	0	1	0.015666412560863	0.362381073907018	9	2	0.0566578866366763	783	20258000	15
20220920 061408	0	0	0	1	auto	depthwise	256	0	1	0.010620896246389	0.487503239442594	2	3	0.0168533791627366	2334	25940000	16
