fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220917 143044	0	0	0	1	auto	depthwise	256	0	1	0.153774041322758	0.832053191736341	4	17	0.0382495545902445	19	20582000	1
20220917 143526	0	0	0	1	auto	depthwise	256	0	1	0.271928988516098	0.636610471885651	4	19	0.0452964635155513	9	18344000	2
20220917 144332	0	0	0	1	auto	depthwise	256	0	1	0.0643813462881371	0.652664288682863	1	6	0.0420094891412494	166	22488000	3
20220917 155047	0	0	0	1	auto	depthwise	256	0	1	0.231603562741191	0.354244734430686	5	23	0.019753100961049	8	22334000	4
20220917 155618	0	0	0	1	auto	depthwise	256	0	1	0.111507637196337	0.470605112481862	8	13	0.061694712342578	64	19384000	5
20220917 155949	0	0	0	1	auto	depthwise	256	0	1	0.27796680620301	0.747589869266376	5	6	0.0457778409965491	49	20580000	6
20220917 160855	0	0	0	1	auto	depthwise	256	0	1	0.0979448420219123	0.902664149897173	8	10	0.0543592034318135	73	19756000	7
20220917 161201	0	0	0	1	auto	depthwise	256	0	1	0.206353757876088	0.386798960790038	7	16	0.0255742628669638	15	22950000	8
20220917 161846	0	0	0	1	auto	depthwise	256	0	1	0.170502649910864	0.877436125446111	10	20	0.0383989047701956	21	22488000	9
20220917 162836	0	0	0	1	auto	depthwise	256	0	1	0.0502911429055966	0.485164121137932	3	17	0.0325018251685833	58	23334000	10
20220917 163503	0	0	0	1	auto	depthwise	256	0	1	0.258878008593572	0.825351367639378	6	27	0.0412559372014948	12	19074000	11
20220917 164054	0	0	0	1	auto	depthwise	256	0	1	0.155678277339786	0.591858506696299	1	21	0.0601138815230418	8	14258000	12
20220917 164553	0	0	0	1	auto	depthwise	256	0	1	0.286563551961328	0.645744434520602	3	13	0.0178993275910519	35	20928000	13
20220917 165042	0	0	0	1	auto	depthwise	256	0	1	0.0935515434761764	0.625291695781052	7	7	0.0151028891829871	65	24510000	14
20220917 165301	0	0	0	1	auto	depthwise	256	0	1	0.195527017994318	0.231733846599236	7	29	0.0518396693695104	15	17426000	15
20220917 171321	0	0	0	1	auto	depthwise	256	0	1	0.0113385987353977	0.76132713643834	0	2	0.030954443646624	1281	25062000	16
20220917 171721	0	0	0	1	auto	depthwise	256	0	1	0.145537148697069	0.419066673005	4	4	0.0650793320160301	214	17676000	17
20220917 172822	0	0	0	1	auto	depthwise	256	0	1	0.0644160604977514	0.689844294879586	10	25	0.036056842396647	58	23118000	18
20220917 173307	0	0	0	1	auto	depthwise	256	0	1	0.215816772262217	0.950882313605398	0	26	0.0213466519934203	1	4316000	19
20220917 173525	0	0	0	1	auto	depthwise	256	0	1	0.137266048859223	0.260518944691867	2	9	0.0273357214443968	30	22352000	20
20220917 175055	0	0	0	1	auto	depthwise	256	0	1	0.0705146063114516	0.994869647705928	3	18	0.057258226773071	46	17984000	21
20220917 180404	0	0	0	1	auto	depthwise	256	0	1	0.0285140561693115	0.286125178607181	1	30	0.0481755744817201	76	14754000	22
20220917 180659	0	0	0	1	auto	depthwise	256	0	1	0.254939808345749	0.522397442366928	9	11	0.0429847246182423	15	20770000	23
20220917 200448	0	0	0	1	auto	depthwise	256	0	1	0.0102383607395738	0.539880153884311	5	12	0.0125010979362492	421	24702000	24
20220917 204730	0	0	0	1	auto	depthwise	256	0	1	0.0100145454149837	0.606668708935898	2	2	0.0158367321029643	3876	25278000	25
20220917 211219	0	0	0	1	auto	depthwise	256	0	1	0.0105228771627404	0.586871097377446	10	17	0.0125006716072113	53	24688000	26
20220917 212856	0	0	0	1	auto	depthwise	256	0	1	0.0100587889433347	0.230479759807738	0	2	0.0192313337502056	2602	25928000	27
20220917 220059	0	0	0	1	auto	depthwise	256	0	1	0.0102140676684596	0.613767459036333	7	20	0.0125146259225395	49	24410000	28
20220917 223052	0	0	0	1	auto	depthwise	256	0	1	0.0110669728418619	0.68059927561076	10	2	0.0125106524273761	2434	23746000	29
20220917 225446	0	0	0	1	auto	depthwise	256	0	1	0.010080852475653	0.45244400182389	0	2	0.0125556523699552	2491	23322000	30
20220917 231218	0	0	0	1	auto	depthwise	256	0	1	0.0100994096539741	0.20220229385018	3	2	0.0270824296081385	3042	26580000	31
20220917 232445	0	0	0	1	auto	depthwise	256	0	1	0.010008732992714	0.264031376114759	1	2	0.0335938332904685	1647	24760000	32
20220917 235115	0	0	0	1	auto	depthwise	256	0	1	0.0100089170107629	0.703692331020743	4	2	0.0269959187934296	1916	25936000	33
20220918 000330	0	0	0	1	auto	depthwise	256	0	1	0.0140193860833344	0.200112907253382	3	2	0.0126101129546173	2100	23288000	34
20220918 002721	0	0	0	1	auto	depthwise	256	0	1	0.0100801490517449	0.587601809125685	7	2	0.0311887682180073	2046	25512000	35
20220918 005044	0	0	0	1	auto	depthwise	256	0	1	0.010031450534497	0.360441172580104	5	2	0.0220790827638562	2828	26606000	36
20220918 011122	0	0	0	1	auto	depthwise	256	0	1	0.0101135007473884	0.200684657126146	9	17	0.0213207229635429	535	25214000	37
20220918 012949	0	0	0	1	auto	depthwise	256	0	1	0.0101091349376775	0.499248772141251	3	2	0.0233069428154888	1638	26412000	38
20220918 013129	0	0	0	1	auto	depthwise	256	0	1	0.299975459429474	0.200419043523092	8	9	0.0154703800276314	36	21514000	39
20220918 014420	0	0	0	1	auto	depthwise	256	0	1	0.0101608153646319	0.20109634075655	4	2	0.0236048546972945	2063	26510000	40
